num_samples,n_estimators,rounds,input_size,hidden_sizes,first_dropout,middle_dropout,last_dropout,weight_decay,last_non_linearity,middle_non_linearity,non_linearity,input_transform,lr,lr_alpha,lr_steps,input_size_freq,uncertainty_weights,compression,compression_parameter,seed,output_size,batch_size,model_avg_auc_pr,model_avg_logloss,TN,FP,FN,TP,accuracy,precision,recall
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,top-k,0.2,12,309,1298,0.5514462856264114,0.7298599567391114,89,76,52,113,0.6121212121212121,0.5978835978835979,0.6848484848484848
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,top-k,0.2,13,309,1298,0.5514462856264114,0.7298599625620051,84,81,54,111,0.5909090909090909,0.578125,0.6727272727272727
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,top-k,0.2,14,309,1298,0.5514462856264114,0.7298599113623309,85,80,52,113,0.6,0.5854922279792746,0.6848484848484848
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,top-k,0.2,15,309,1298,0.5514462856264114,0.7298599443481419,86,79,51,114,0.6060606060606061,0.5906735751295337,0.6909090909090909
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,top-k,0.2,16,309,1298,0.5514462856264114,0.7298599641346883,79,86,54,111,0.5757575757575758,0.5634517766497462,0.6727272727272727
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,top-k,0.2,17,309,1298,0.5514462856264114,0.7298599067314074,89,76,54,111,0.6060606060606061,0.5935828877005348,0.6727272727272727
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,top-k,0.2,18,309,1298,0.5514462856264114,0.7298599485453185,85,80,60,105,0.5757575757575758,0.5675675675675675,0.6363636363636364
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,top-k,0.2,19,309,1298,0.5514462856264114,0.7298599466385803,87,78,58,107,0.5878787878787879,0.5783783783783784,0.6484848484848484
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,top-k,0.2,20,309,1298,0.5514462856264114,0.7298599140074336,79,86,52,113,0.5818181818181818,0.5678391959798995,0.6848484848484848
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,top-k,0.2,21,309,1298,0.5514462856264114,0.7298599624918044,82,83,49,116,0.6,0.5829145728643216,0.703030303030303
