num_models,num_samples,attack_type,num_epochs,n_estimators,best_models,intermediate_models,rounds,input_size,batch_ratio,hidden_sizes,first_dropout,middle_dropout,last_dropout,weight_decay,last_non_linearity,middle_non_linearity,non_linearity,input_transform,lr_alpha,lr_steps,input_size_freq,uncertainty_weights,compression,compression_parameter,seed,TN,FP,FN,TP,accuracy,precision,recall
3,500,gb,300,100,False,False,1000,32000,0.02,[6000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,5,71,94,69,96,0.5060606060606061,0.5052631578947369,0.5818181818181818
3,500,rf,300,100,False,False,1000,32000,0.02,[6000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,7,85,80,79,86,0.5181818181818182,0.5180722891566265,0.5212121212121212
3,500,rf,300,100,False,False,1000,32000,0.02,[6000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,8,100,65,77,88,0.5696969696969697,0.5751633986928104,0.5333333333333333
3,500,gb,300,100,False,False,1000,32000,0.02,[6000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,6,92,73,71,94,0.5636363636363636,0.562874251497006,0.5696969696969697
3,500,rf,300,100,False,False,1000,32000,0.02,[6000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,9,89,76,82,83,0.5212121212121212,0.5220125786163522,0.503030303030303
3,500,gb,300,100,False,False,1000,32000,0.02,[6000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,7,93,72,73,92,0.5606060606060606,0.5609756097560976,0.5575757575757576
3,500,rf,300,100,False,False,1000,32000,0.02,[6000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,10,99,66,59,106,0.6212121212121212,0.6162790697674418,0.6424242424242425
3,500,gb,300,100,False,False,1000,32000,0.02,[6000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,8,81,84,77,88,0.5121212121212121,0.5116279069767442,0.5333333333333333
3,500,rf,300,100,False,False,1000,32000,0.02,[8000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,1,96,69,89,76,0.5212121212121212,0.5241379310344828,0.46060606060606063
3,500,gb,300,100,False,False,1000,32000,0.02,[6000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,9,80,85,68,97,0.5363636363636364,0.532967032967033,0.5878787878787879
3,500,rf,300,100,False,False,1000,32000,0.02,[8000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,2,98,67,75,90,0.5696969696969697,0.5732484076433121,0.5454545454545454
3,500,gb,300,100,False,False,1000,32000,0.02,[6000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,10,91,74,75,90,0.5484848484848485,0.5487804878048781,0.5454545454545454
3,500,rf,300,100,False,False,1000,32000,0.02,[8000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,3,89,76,78,87,0.5333333333333333,0.5337423312883436,0.5272727272727272
3,500,rf,300,100,False,False,1000,32000,0.02,[8000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,4,89,76,85,80,0.5121212121212121,0.5128205128205128,0.48484848484848486
3,500,gb,300,100,False,False,1000,32000,0.02,[8000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,1,82,83,70,95,0.5363636363636364,0.5337078651685393,0.5757575757575758
3,500,rf,300,100,False,False,1000,32000,0.02,[8000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,5,93,72,78,87,0.5454545454545454,0.5471698113207547,0.5272727272727272
3,500,gb,300,100,False,False,1000,32000,0.02,[8000],0.8,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,2,92,73,76,89,0.5484848484848485,0.5493827160493827,0.5393939393939394
