num_samples,voting_threshold,rounds,input_size,hidden_sizes,first_dropout,middle_dropout,last_dropout,weight_decay,last_non_linearity,middle_non_linearity,non_linearity,input_transform,lr,lr_alpha,lr_steps,input_size_freq,uncertainty_weights,compression,compression_parameter,seed,output_size,batch_size,model_avg_auc_pr,model_avg_logloss,TN,FP,FN,TP,accuracy,precision,recall
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,5,309,1298,0.6995369142089128,0.6763888535241769,39,11,15,35,0.74,0.7608695652173914,0.7
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,6,309,1298,0.6995701018163121,0.6761662649214962,39,11,10,40,0.79,0.7843137254901961,0.8
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,7,309,1298,0.7001938816286619,0.6769611769237645,40,10,15,35,0.75,0.7777777777777778,0.7
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,8,309,1298,0.700063250768828,0.6755890695041249,39,11,10,40,0.79,0.7843137254901961,0.8
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,9,309,1298,0.6999069372015515,0.6752010892524687,46,4,14,36,0.82,0.9,0.72
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,10,309,1298,0.70012864640891,0.6754903067132527,45,5,15,35,0.8,0.875,0.7
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,11,309,1298,0.6996066052141569,0.6758336348577298,44,6,15,35,0.79,0.8536585365853658,0.7
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,12,309,1298,0.700213253754456,0.6761576618822682,40,10,6,44,0.84,0.8148148148148148,0.88
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,13,309,1298,0.7003101725394243,0.6744873832201426,45,5,17,33,0.78,0.868421052631579,0.66
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,14,309,1298,0.6998081956650044,0.675983645585534,42,8,11,39,0.81,0.8297872340425532,0.78
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,15,309,1298,0.699818217950439,0.6759405950375205,44,6,18,32,0.76,0.8421052631578947,0.64
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,16,309,1298,0.7003009515951312,0.6740158919711473,41,9,13,37,0.78,0.8043478260869565,0.74
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,17,309,1298,0.700180364244408,0.6758456043024172,41,9,15,35,0.76,0.7954545454545454,0.7
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,18,309,1298,0.7005239115002132,0.6745724140517801,46,4,11,39,0.85,0.9069767441860465,0.78
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,19,309,1298,0.6999197022333167,0.6767057939240633,40,10,18,32,0.72,0.7619047619047619,0.64
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,20,309,1298,0.6996324157660159,0.674572040372498,46,4,19,31,0.77,0.8857142857142857,0.62
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,21,309,1298,0.6997122554809906,0.6742859997407111,46,4,15,35,0.81,0.8974358974358975,0.7
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,22,309,1298,0.6997270618995819,0.6774651143674004,42,8,14,36,0.78,0.8181818181818182,0.72
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,23,309,1298,0.69950036389259,0.6777272540243606,40,10,12,38,0.78,0.7916666666666666,0.76
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,24,309,1298,0.6999353751634202,0.675728826828996,38,12,12,38,0.76,0.76,0.76
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,25,309,1298,0.7001570795009171,0.6743135070141646,40,10,12,38,0.78,0.7916666666666666,0.76
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,26,309,1298,0.7003883932608957,0.6757125419917476,41,9,9,41,0.82,0.82,0.82
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,27,309,1298,0.7004376775357042,0.6743524504290351,42,8,17,33,0.75,0.8048780487804879,0.66
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,28,309,1298,0.7000179379739394,0.6751648006754069,42,8,12,38,0.8,0.8260869565217391,0.76
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,29,309,1298,0.7000994667270042,0.6759670864333714,40,10,18,32,0.72,0.7619047619047619,0.64
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,30,309,1298,0.6998760421010545,0.6744845699561778,43,7,14,36,0.79,0.8372093023255814,0.72
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,31,309,1298,0.7003535422974211,0.6763738728736184,43,7,13,37,0.8,0.8409090909090909,0.74
50,0.5,1000,32000,[40],0.4,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,32,309,1298,0.6997915996591811,0.6758050931694439,40,10,15,35,0.75,0.7777777777777778,0.7
