num_samples,voting_threshold,rounds,input_size,batch_ratio,hidden_sizes,first_dropout,middle_dropout,last_dropout,weight_decay,last_non_linearity,middle_non_linearity,non_linearity,input_transform,lr,lr_alpha,lr_steps,input_size_freq,uncertainty_weights,compression,compression_parameter,seed,model_avg_auc_pr,model_avg_logloss,TN,FP,FN,TP,accuracy,precision,recall
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,37,0.7081186091628474,0.6644272042759163,5,45,0,50,0.55,0.5263157894736842,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,38,0.707899282383269,0.6656330245327367,5,45,0,50,0.55,0.5263157894736842,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,39,0.7078187698858603,0.6649289760800196,2,48,0,50,0.52,0.5102040816326531,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,40,0.7083210238521058,0.6668409430829285,5,45,0,50,0.55,0.5263157894736842,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,41,0.707880848748757,0.6637134288396352,5,45,0,50,0.55,0.5263157894736842,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,42,0.7081513285764097,0.667395874727384,6,44,0,50,0.56,0.5319148936170213,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,43,0.7082702891382876,0.6653473287847931,2,48,0,50,0.52,0.5102040816326531,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,44,0.7080871983660125,0.6670065343010343,3,47,0,50,0.53,0.5154639175257731,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,45,0.7080597579956742,0.6656819747127539,6,44,0,50,0.56,0.5319148936170213,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,46,0.7079229598338835,0.6659869561154295,4,46,0,50,0.54,0.5208333333333334,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,47,0.7081117734339036,0.6654004426391956,6,44,0,50,0.56,0.5319148936170213,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,48,0.7081733076984047,0.6655673696298506,1,49,0,50,0.51,0.5050505050505051,1.0
50,0.5,1000,32000,0.06,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,49,0.7080045800539173,0.6657426719882868,4,46,0,50,0.54,0.5208333333333334,1.0
50,0.5,1000,32000,0.08,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,0,0.7094185207754344,0.6652391711040068,1,49,0,50,0.51,0.5050505050505051,1.0
50,0.5,1000,32000,0.08,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,1,0.7095990810039396,0.663740123734858,0,50,0,50,0.5,0.5,1.0
50,0.5,1000,32000,0.08,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,2,0.7091981840379075,0.6656415908735704,4,46,0,50,0.54,0.5208333333333334,1.0
50,0.5,1000,32000,0.08,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,3,0.7090774384482023,0.6648602989582513,1,49,0,50,0.51,0.5050505050505051,1.0
50,0.5,1000,32000,0.08,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,4,0.7093546182160407,0.6658954112607046,4,46,0,50,0.54,0.5208333333333334,1.0
50,0.5,1000,32000,0.08,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,5,0.7088885691564818,0.6644104553095855,2,48,0,50,0.52,0.5102040816326531,1.0
50,0.5,1000,32000,0.08,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,6,0.7093035416446335,0.664052687916853,4,46,0,50,0.54,0.5208333333333334,1.0
50,0.5,1000,32000,0.08,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,7,0.7088140611251975,0.6647997321852784,2,48,0,50,0.52,0.5102040816326531,1.0
50,0.5,1000,32000,0.08,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,8,0.7087954710407973,0.6649434132691071,1,49,0,50,0.51,0.5050505050505051,1.0
50,0.5,1000,32000,0.08,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,9,0.7091722513186617,0.6649785364146392,1,49,0,50,0.51,0.5050505050505051,1.0
50,0.5,1000,32000,0.08,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,10,0.7092785314047376,0.6658887511028055,2,48,0,50,0.52,0.5102040816326531,1.0
50,0.5,1000,32000,0.08,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,11,0.7092092719378817,0.6639444888092291,2,48,0,50,0.52,0.5102040816326531,1.0
50,0.5,1000,32000,0.08,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,12,0.7089893129630656,0.6650524156102732,2,48,0,50,0.52,0.5102040816326531,1.0
50,0.5,1000,32000,0.08,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,13,0.7092036119969182,0.6643786009069694,3,47,0,50,0.53,0.5154639175257731,1.0
50,0.5,1000,32000,0.08,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,14,0.7092110832516164,0.6644911190407582,5,45,0,50,0.55,0.5263157894736842,1.0
50,0.5,1000,32000,0.08,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,15,0.7091433235315019,0.6652315815746939,3,47,0,50,0.53,0.5154639175257731,1.0
50,0.5,1000,32000,0.08,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,,,16,0.709572834256131,0.6639876376180168,2,48,0,50,0.52,0.5102040816326531,1.0
