num_samples,n_estimators,rounds,input_size,hidden_sizes,first_dropout,middle_dropout,last_dropout,weight_decay,last_non_linearity,middle_non_linearity,non_linearity,input_transform,lr,lr_alpha,lr_steps,input_size_freq,uncertainty_weights,compression,compression_parameter,seed,output_size,batch_size,model_avg_auc_pr,model_avg_logloss,TN,FP,FN,TP,accuracy,precision,recall
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,16,309,1298,0.5287760127475721,0.7083602934085966,92,73,68,97,0.5727272727272728,0.5705882352941176,0.5878787878787879
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,17,309,1298,0.5287760127475721,0.7083602943531415,89,76,68,97,0.5636363636363636,0.5606936416184971,0.5878787878787879
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,18,309,1298,0.5287760127475721,0.7083602685389156,88,77,69,96,0.5575757575757576,0.5549132947976878,0.5818181818181818
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,19,309,1298,0.5287760127475721,0.7083602691953323,87,78,78,87,0.5272727272727272,0.5272727272727272,0.5272727272727272
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,20,309,1298,0.5287760127475721,0.7083603172870113,99,66,63,102,0.6090909090909091,0.6071428571428571,0.6181818181818182
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,21,309,1298,0.5287760127475721,0.7083603099062536,88,77,53,112,0.6060606060606061,0.5925925925925926,0.6787878787878788
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,22,309,1298,0.5287760127475721,0.7083603238158201,88,77,67,98,0.5636363636363636,0.56,0.593939393939394
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,23,309,1298,0.5287760127475721,0.7083603133555609,93,72,66,99,0.5818181818181818,0.5789473684210527,0.6
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,24,309,1298,0.5287760127475721,0.7083603101466662,89,76,61,104,0.5848484848484848,0.5777777777777777,0.6303030303030303
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,25,309,1298,0.5287760127475721,0.7083602940220634,93,72,66,99,0.5818181818181818,0.5789473684210527,0.6
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,26,309,1298,0.5287760127475721,0.7083602982123781,87,78,67,98,0.5606060606060606,0.5568181818181818,0.593939393939394
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,27,309,1298,0.5287760127475721,0.7083602952167759,89,76,64,101,0.5757575757575758,0.5706214689265536,0.6121212121212121
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,28,309,1298,0.5287760127475721,0.7083603055295753,100,65,61,104,0.6181818181818182,0.6153846153846154,0.6303030303030303
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,29,309,1298,0.5287760127475721,0.708360276402312,92,73,65,100,0.5818181818181818,0.5780346820809249,0.6060606060606061
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,30,309,1298,0.5287760127475721,0.7083602643098081,93,72,66,99,0.5818181818181818,0.5789473684210527,0.6
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,31,309,1298,0.5287760127475721,0.7083602862678315,87,78,64,101,0.5696969696969697,0.5642458100558659,0.6121212121212121
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,32,309,1298,0.5287760127475721,0.7083603142777135,94,71,69,96,0.5757575757575758,0.5748502994011976,0.5818181818181818
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,33,309,1298,0.5287760127475721,0.7083603059660407,93,72,64,101,0.5878787878787879,0.5838150289017341,0.6121212121212121
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,34,309,1298,0.5287760127475721,0.7083602604987216,89,76,67,98,0.5666666666666667,0.5632183908045977,0.593939393939394
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,35,309,1298,0.5287760127475721,0.70836034400848,84,81,62,103,0.5666666666666667,0.5597826086956522,0.6242424242424243
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,36,309,1298,0.5287760127475721,0.7083602994698206,96,69,56,109,0.6212121212121212,0.6123595505617978,0.6606060606060606
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,37,309,1298,0.5287760127475721,0.708360274418766,89,76,66,99,0.5696969696969697,0.5657142857142857,0.6
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,38,309,1298,0.5287760127475721,0.7083603051793605,88,77,63,102,0.5757575757575758,0.5698324022346368,0.6181818181818182
500,100,1000,32000,[40],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.001,0.3,[10],32000,False,quantization,,39,309,1298,0.5287760127475721,0.7083602671570464,93,72,63,102,0.5909090909090909,0.5862068965517241,0.6181818181818182
